TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,PPG1_SUB4,PPG1_SUB5,PPG1_SUB6,PPG1_SUB7,PPG1_SUB8,PPG2_SUB1,PPG2_SUB2,PPG2_SUB3,PPG2_SUB4,PPG2_SUB5,PPG2_SUB6,PPG2_SUB7,PPG2_SUB8,ECG_SEQ1_SUB1,ECG_SEQ1_SUB2,ECG_SEQ2_SUB1
3.92,12,-448,-412,,,,,,,,,,,,,,,,
3.93,11,-716,-668,,,,,,,,,,,,,,,,
3.94,11,-977,-919,,,,,,,,,,,,,,,,
3.95,10,-1219,-1154,,,,,,,,,,,,,,,,
3.96,10,-1433,-1363,,,,,,,,,,,,,,,,
3.97,11,-1611,-1539,,,,,,,,,,,,,,,,
3.98,11,-1744,-1674,,,,,,,,,,,,,,,,
3.99,11,-1831,-1763,,,,,,,,,,,,,,,,
4.0,11,-1870,-1802,,,,,,,,,,,,,,,,
4.01,12,-1861,-1793,,,,,,,,,,,,,,,,
4.02,12,-1809,-1739,,,,,,,,,,,,,,,,
4.03,14,-1717,-1641,,,,,,,,,,,,,,,,
4.04,15,-1595,-1512,,,,,,,,,,,,,,,,
4.05,16,-1452,-1364,,,,,,,,,,,,,,,,
4.06,16,-1304,-1210,,,,,,,,,,,,,,,,
4.07,14,-1155,-1054,,,,,,,,,,,,,,,,
4.08,14,-1009,-901,,,,,,,,,,,,,,,,
4.09,14,-858,-749,,,,,,,,,,,,,,,,
4.1,14,-708,-596,,,,,,,,,,,,,,,,
4.11,12,-564,-450,,,,,,,,,,,,,,,,
4.12,10,-430,-318,,,,,,,,,,,,,,,,
4.13,8,-305,-196,,,,,,,,,,,,,,,,
4.14,7,-196,-92,,,,,,,,,,,,,,,,
4.15,6,-106,-10,,,,,,,,,,,,,,,,
4.16,5,-36,51,,,,,,,,,,,,,,,,
4.17,7,9,96,,,,,,,,,,,,,,,,
4.18,8,41,121,,,,,,,,,,,,,,,,
4.19,8,58,133,,,,,,,,,,,,,,,,
4.2,9,64,135,,,,,,,,,,,,,,,,
4.21,11,67,133,,,,,,,,,,,,,,,,
4.22,12,68,130,,,,,,,,,,,,,,,,
4.23,11,72,132,,,,,,,,,,,,,,,,
4.24,12,81,137,,,,,,,,,,,,,,,,
4.25,11,92,150,,,,,,,,,,,,,,,,
4.26,9,110,167,,,,,,,,,,,,,,,,
4.27,8,135,190,,,,,,,,,,,,,,,,
4.28,6,171,221,,,,,,,,,,,,,,,,
4.29,6,212,258,,,,,,,,,,,,,,,,
4.3,5,253,296,,,,,,,,,,,,,,,,
4.31,3,296,334,,,,,,,,,,,,,,,,
4.32,2,338,372,,,,,,,,,,,,,,,,
4.33,2,379,409,,,,,,,,,,,,,,,,
4.34,3,418,444,,,,,,,,,,,,,,,,
4.35,4,452,474,,,,,,,,,,,,,,,,
4.36,4,477,499,,,,,,,,,,,,,,,,
4.37,2,498,519,,,,,,,,,,,,,,,,
4.38,1,517,537,,,,,,,,,,,,,,,,
4.39,1,539,554,,,,,,,,,,,,,,,,
4.4,1,558,571,,,,,,,,,,,,,,,,
4.41,1,576,584,,,,,,,,,,,,,,,,
4.42,0,595,598,,,,,,,,,,,,,,,,
4.43,0,615,613,,,,,,,,,,,,,,,,
4.44,-2,635,626,,,,,,,,,,,,,,,,
4.45,-5,654,638,,,,,,,,,,,,,,,,
4.46,-5,671,649,,,,,,,,,,,,,,,,
4.47,-5,686,662,,,,,,,,,,,,,,,,
4.48,-4,698,671,,,,,,,,,,,,,,,,
4.49,-5,706,679,,,,,,,,,,,,,,,,
4.5,-6,715,685,,,,,,,,,,,,,,,,
4.51,-7,726,694,,,,,,,,,,,,,,,,
4.52,-6,743,706,,,,,,,,,,,,,,,,
4.53,-6,773,729,,,,,,,,,,,,,,,,
4.54,-7,815,762,,,,,,,,,,,,,,,,
4.55,-5,862,803,,,,,,,,,,,,,,,,
4.56,-6,905,838,,,,,,,,,,,,,,,,
4.57,-8,927,861,,,,,,,,,,,,,,,,
4.58,-9,927,862,,,,,,,,,,,,,,,,
4.59,-7,891,832,,,,,,,,,,,,,,,,
4.6,-6,815,761,,,,,,,,,,,,,,,,
4.61,-7,695,649,,,,,,,,,,,,,,,,
4.62,-7,535,497,,,,,,,,,,,,,,,,
4.63,-5,338,313,,,,,,,,,,,,,,,,
4.64,-5,116,100,,,,,,,,,,,,,,,,
4.65,-3,-132,-131,,,,,,,,,,,,,,,,
4.66,-2,-388,-371,,,,,,,,,,,,,,,,
4.67,-1,-643,-612,,,,,,,,,,,,,,,,
4.68,-1,-886,-843,,,,,,,,,,,,,,,,
4.69,-2,-1106,-1060,,,,,,,,,,,,,,,,
