TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,PPG1_SUB4,PPG1_SUB5,PPG1_SUB6,PPG1_SUB7,PPG1_SUB8,PPG2_SUB1,PPG2_SUB2,PPG2_SUB3,PPG2_SUB4,PPG2_SUB5,PPG2_SUB6,PPG2_SUB7,PPG2_SUB8,ECG_SEQ1_SUB1,ECG_SEQ1_SUB2,ECG_SEQ2_SUB1
3.025,-2,-270,-488,,,,,,,,,,,,,,,,
3.03,-2,-271,-493,,,,,,,,,,,,,,,,
3.035,-1,-270,-493,,,,,,,,,,,,,,,,
3.04,-1,-266,-490,,,,,,,,,,,,,,,,
3.045,-1,-260,-484,,,,,,,,,,,,,,,,
3.05,-1,-252,-474,,,,,,,,,,,,,,,,
3.055,0,-243,-464,,,,,,,,,,,,,,,,
3.06,-1,-234,-452,,,,,,,,,,,,,,,,
3.065,0,-225,-442,,,,,,,,,,,,,,,,
3.07,-1,-216,-431,,,,,,,,,,,,,,,,
3.075,-1,-206,-419,,,,,,,,,,,,,,,,
3.08,0,-197,-408,,,,,,,,,,,,,,,,
3.085,0,-189,-398,,,,,,,,,,,,,,,,
3.09,0,-180,-387,,,,,,,,,,,,,,,,
3.095,0,-172,-376,,,,,,,,,,,,,,,,
3.1,0,-164,-364,,,,,,,,,,,,,,,,
3.105,0,-156,-352,,,,,,,,,,,,,,,,
3.11,0,-148,-340,,,,,,,,,,,,,,,,
3.115,0,-141,-328,,,,,,,,,,,,,,,,
3.12,0,-134,-316,,,,,,,,,,,,,,,,
3.125,0,-127,-304,,,,,,,,,,,,,,,,
3.13,0,-121,-292,,,,,,,,,,,,,,,,
3.135,0,-115,-282,,,,,,,,,,,,,,,,
3.14,0,-110,-272,,,,,,,,,,,,,,,,
3.145,0,-104,-262,,,,,,,,,,,,,,,,
3.15,0,-99,-252,,,,,,,,,,,,,,,,
3.155,0,-94,-242,,,,,,,,,,,,,,,,
3.16,0,-89,-233,,,,,,,,,,,,,,,,
3.165,0,-85,-225,,,,,,,,,,,,,,,,
3.17,0,-80,-218,,,,,,,,,,,,,,,,
3.175,0,-76,-208,,,,,,,,,,,,,,,,
3.18,0,-72,-199,,,,,,,,,,,,,,,,
3.185,1,-69,-190,,,,,,,,,,,,,,,,
3.19,1,-65,-181,,,,,,,,,,,,,,,,
3.195,1,-61,-171,,,,,,,,,,,,,,,,
3.2,1,-57,-162,,,,,,,,,,,,,,,,
3.205,1,-53,-153,,,,,,,,,,,,,,,,
3.21,1,-49,-144,,,,,,,,,,,,,,,,
3.215,1,-45,-133,,,,,,,,,,,,,,,,
3.22,1,-40,-121,,,,,,,,,,,,,,,,
3.225,0,-35,-110,,,,,,,,,,,,,,,,
3.23,0,-29,-98,,,,,,,,,,,,,,,,
3.235,0,-23,-85,,,,,,,,,,,,,,,,
3.24,0,-16,-71,,,,,,,,,,,,,,,,
3.245,0,-9,-58,,,,,,,,,,,,,,,,
3.25,0,-3,-45,,,,,,,,,,,,,,,,
3.255,0,3,-31,,,,,,,,,,,,,,,,
3.26,0,10,-17,,,,,,,,,,,,,,,,
3.265,0,19,-2,,,,,,,,,,,,,,,,
3.27,-1,26,9,,,,,,,,,,,,,,,,
3.275,-2,33,22,,,,,,,,,,,,,,,,
3.28,-2,40,34,,,,,,,,,,,,,,,,
3.285,-3,46,45,,,,,,,,,,,,,,,,
3.29,-3,52,58,,,,,,,,,,,,,,,,
3.295,-4,59,70,,,,,,,,,,,,,,,,
3.3,-3,67,81,,,,,,,,,,,,,,,,
3.305,-4,73,93,,,,,,,,,,,,,,,,
3.31,-3,79,105,,,,,,,,,,,,,,,,
3.315,-3,86,117,,,,,,,,,,,,,,,,
3.32,-3,94,131,,,,,,,,,,,,,,,,
